FISCAL YEAR,Month,FUND,ACCOUNT GROUP NAME,EXPENDITURE
2017,4,100,EXPENSES,261661.77
2013,1,100,EXPENSES,261637.74
2014,1,885,NOT DEF,261373
2012,6,26N,NOT DEF,261216.72
2018,3,100,EXPENSES,260405.88
2016,6,100,EXPENSES,260195.3
2019,11,100,EXPENSES,259130.86
2019,11,100,EXPENSES,259130.86
2016,7,100,SALARIES AND BENEFITS,258959.89
2012,8,100,SALARIES AND BENEFITS,258614.01
2019,11,100,SALARIES AND BENEFITS,258565.52
2019,11,100,SALARIES AND BENEFITS,258565.52
2016,1,100,EXPENSES,258500.36
2016,4,100,SALARIES AND BENEFITS,258487.69
2012,6,290,NOT DEF,258209.56
2013,11,100,SALARIES AND BENEFITS,258154.1
2012,5,100,EXPENSES,258065.41
2019,9,100,SALARIES AND BENEFITS,257950.82
2020,4,100,EXPENSES,257773.72
2019,12,100,SALARIES AND BENEFITS,257709.34
2017,7,100,SALARIES AND BENEFITS,257398.71
2016,9,100,EXPENSES,256513.64
2013,11,100,SALARIES AND BENEFITS,256360.8
2019,8,100,SALARIES AND BENEFITS,256309.01
2017,5,100,SALARIES AND BENEFITS,256286.99
2012,5,44F,NOT DEF,255734.18
2014,1,100,EXPENSES,255274.52
2014,3,100,EXPENSES,254850.8
2014,10,100,EXPENSES,254808.68
2013,4,100,EXPENSES,254703.08
2012,3,100,SALARIES AND BENEFITS,254652.25
2016,6,100,EXPENSES,254644.17
2015,3,100,SALARIES AND BENEFITS,254336.91
2015,6,339,NOT DEF,253806
2014,1,44D,NOT DEF,253442.96
2014,10,100,SALARIES AND BENEFITS,253080.1
2017,5,100,EXPENSES,252023.43
2018,4,100,SALARIES AND BENEFITS,251881.97
2019,7,100,EXPENSES,251680
2015,10,100,EXPENSES,251618.62
2015,3,339,NOT DEF,251358.66
2011,6,339,NOT DEF,251055.25
2013,3,100,EXPENSES,250707.35
2015,8,298,NOT DEF,250382.15
2012,1,47C,NOT DEF,250000
2012,2,47C,NOT DEF,250000
2013,7,47C,NOT DEF,250000
2019,10,100,SALARIES AND BENEFITS,249899.98
2020,4,100,SALARIES AND BENEFITS,249876.52
2020,3,100,SALARIES AND BENEFITS,249744.77
2014,2,290,NOT DEF,249692.88
2015,9,100,EXPENSES,249105.55
2017,7,100,SALARIES AND BENEFITS,248996.36
2014,5,100,SALARIES AND BENEFITS,248947.08
2014,10,100,EXPENSES,248224.75
2014,7,100,EXPENSES,247903.99
2014,4,100,SALARIES AND BENEFITS,247358.45
2018,4,100,EXPENSES,247134.61
2019,8,100,EXPENSES,247067.5
2016,7,100,SALARIES AND BENEFITS,246951.25
2020,11,100,SALARIES AND BENEFITS,246764.71
2020,11,100,EXPENSES,246650
2018,5,100,SALARIES AND BENEFITS,246424.35
2020,10,100,SALARIES AND BENEFITS,246304.38
2019,7,100,SALARIES AND BENEFITS,246258.44
2016,10,100,EXPENSES,246152.42
2019,7,100,SALARIES AND BENEFITS,246023.58
2020,2,100,SALARIES AND BENEFITS,245017.59
2011,6,44F,NOT DEF,244873
2016,7,100,SALARIES AND BENEFITS,244622.72
2015,3,100,SALARIES AND BENEFITS,244520.52
2019,4,100,SALARIES AND BENEFITS,244408.68
2012,8,100,EXPENSES,244370.25
2012,7,100,EXPENSES,244137.52
2019,3,100,SALARIES AND BENEFITS,244100.6
2018,8,100,EXPENSES,243902.74
2014,7,100,SALARIES AND BENEFITS,243751.79
2013,7,100,SALARIES AND BENEFITS,243035.7
2019,8,100,EXPENSES,242871.61
2013,2,339,NOT DEF,242798.5
2011,6,339,NOT DEF,242569.07
2016,1,100,EXPENSES,242497.72
2011,6,554,NOT DEF,242486
2018,10,100,EXPENSES,242320
2015,3,298,NOT DEF,242281.45
2018,1,100,EXPENSES,241905.49
2015,5,100,EXPENSES,241659.88
2016,4,100,EQUIPMENT,241293.32
2011,6,554,NOT DEF,240756
2016,7,100,SALARIES AND BENEFITS,240740.02
2012,8,100,EXPENSES,240643.97
2019,5,100,SALARIES AND BENEFITS,240329.27
2012,7,100,SALARIES AND BENEFITS,239729.73
2017,5,554,NOT DEF,239498.71
2018,8,298,NOT DEF,239401.8
2014,9,339,NOT DEF,239249
2011,6,554,NOT DEF,239216
2011,6,44D,NOT DEF,238922.69
2015,1,100,SALARIES AND BENEFITS,238906.97
2019,11,100,SALARIES AND BENEFITS,238507.62
2019,11,100,SALARIES AND BENEFITS,238507.62
2011,6,554,NOT DEF,238494
2018,2,100,EXPENSES,238318.48
2013,10,100,SALARIES AND BENEFITS,237895.06
2016,9,100,SALARIES AND BENEFITS,236611.27
2012,2,100,SALARIES AND BENEFITS,236517.99
2016,7,339,NOT DEF,236502.38
2011,6,863,NOT DEF,235569.38
2018,1,100,SALARIES AND BENEFITS,235504.25
2011,6,213,NOT DEF,234966.39
2017,5,100,SALARIES AND BENEFITS,234868.82
2016,8,100,EXPENSES,234759.99
2016,7,100,SALARIES AND BENEFITS,234090.19
2018,11,100,SALARIES AND BENEFITS,233520.39
2013,4,47C,NOT DEF,233333.34
2013,10,47C,NOT DEF,233333.34
2017,9,100,EXPENSES,233310
2015,9,100,EQUIPMENT,233062.96
2016,5,100,SALARIES AND BENEFITS,232304.41
2020,12,100,SALARIES AND BENEFITS,231894.39
2016,2,100,SALARIES AND BENEFITS,231829.49
2012,9,100,EXPENSES,231745.29
2013,10,100,EXPENSES,230693.6
2018,2,100,SALARIES AND BENEFITS,230609.74
2016,8,100,SALARIES AND BENEFITS,230536.59
2014,9,100,SALARIES AND BENEFITS,230088.56
2018,5,339,NOT DEF,230000
2014,9,100,SALARIES AND BENEFITS,229651.2
2014,7,100,EXPENSES,228395.42
2016,12,100,SALARIES AND BENEFITS,228084.42
2011,6,339,NOT DEF,227894.96
2014,8,100,EXPENSES,227361.23
2012,9,44F,NOT DEF,227158.74
2013,6,339,NOT DEF,227025.13
2015,7,100,EXPENSES,226972.7
2011,6,44F,NOT DEF,226804.52
2016,8,100,SALARIES AND BENEFITS,226683.86
2015,10,44D,NOT DEF,226611
2018,10,100,EXPENSES,226277.42
2014,4,100,SALARIES AND BENEFITS,226105.28
2012,3,100,EXPENSES,226066.69
2017,8,100,SALARIES AND BENEFITS,225513.51
2011,6,339,NOT DEF,225327.03
2016,2,100,EXPENSES,224994.48
2014,5,100,SALARIES AND BENEFITS,224747.95
2012,6,100,EXPENSES,224193.47
2015,2,100,EXPENSES,224118.03
2013,5,100,EXPENSES,223920.99
2015,7,670,NOT DEF,223736.42
2013,1,100,EXPENSES,223230.67
2018,8,100,EXPENSES,223225.26
2017,4,100,EXPENSES,222963.63
2016,10,100,SALARIES AND BENEFITS,222023.74
2016,5,100,EXPENSES,221647.65
2019,3,339,NOT DEF,221640.68
2011,6,339,NOT DEF,221569.91
2018,1,100,SALARIES AND BENEFITS,221340.3
2018,5,100,SALARIES AND BENEFITS,221224.38
2019,11,100,EXPENSES,221210.42
2019,11,100,EXPENSES,221210.42
2014,6,100,SALARIES AND BENEFITS,221206.05
2019,8,44D,SPECIAL,220713.76
2016,7,100,SALARIES AND BENEFITS,220604.93
2017,7,100,SALARIES AND BENEFITS,220261.01
2014,7,100,SALARIES AND BENEFITS,220204.01
2015,1,100,EXPENSES,219530.91
2016,4,100,EXPENSES,219524.2
2011,6,44D,NOT DEF,219270.77
2011,6,339,NOT DEF,219076.32
2020,10,298,NOT DEF,217927.68
2018,9,100,EXPENSES,217605
2016,1,100,EXPENSES,217533.96
2014,4,100,EXPENSES,217531.3
2012,7,100,SALARIES AND BENEFITS,217462.85
2019,2,100,SALARIES AND BENEFITS,217085.17
2019,2,100,SALARIES AND BENEFITS,217085.17
2016,2,100,EXPENSES,217036.12
2020,1,339,NOT DEF,216681.25
2012,9,100,EXPENSES,216379.16
2012,4,100,EXPENSES,215952.59
2014,12,100,EXPENSES,215726.37
2016,5,100,SALARIES AND BENEFITS,215124.6
2015,7,100,SALARIES AND BENEFITS,214976.79
2014,3,100,EXPENSES,214531.99
2017,8,100,SALARIES AND BENEFITS,214127.81
2016,1,100,SALARIES AND BENEFITS,213945.01
2014,2,100,SALARIES AND BENEFITS,213428.22
2016,11,100,SALARIES AND BENEFITS,213332.32
2016,6,100,SALARIES AND BENEFITS,213164.27
2012,5,100,SALARIES AND BENEFITS,213158.87
2012,1,100,EXPENSES,212493.16
2015,1,100,EXPENSES,212359.71
2011,6,26E,NOT DEF,211620.86
2013,1,100,SALARIES AND BENEFITS,211352.6
2017,7,100,SALARIES AND BENEFITS,211276.89
2019,10,100,EXPENSES,210957.9
2015,5,100,SALARIES AND BENEFITS,210851.54
2015,12,100,SALARIES AND BENEFITS,210841.59
2011,6,339,NOT DEF,210714.71
2019,8,100,EXPENSES,210490
2018,8,100,SALARIES AND BENEFITS,210349.78
2017,9,44D,SPECIAL,210312.08
2018,5,100,EXPENSES,210212.47
2014,5,100,SALARIES AND BENEFITS,209849.5
2014,3,100,EQUIPMENT,209843.27
2019,9,100,EXPENSES,209834.79
2015,11,100,SALARIES AND BENEFITS,209572.82
2015,7,100,SALARIES AND BENEFITS,209438.72
2017,9,100,SALARIES AND BENEFITS,209372.93
2016,5,100,EQUIPMENT,209347.07
2012,9,339,NOT DEF,209010
2012,4,100,EXPENSES,208580.76
2018,5,100,SALARIES AND BENEFITS,207958.54
2019,11,100,SALARIES AND BENEFITS,207709.62
2019,11,100,SALARIES AND BENEFITS,207709.62
2013,4,100,SALARIES AND BENEFITS,207481.47
2015,3,298,NOT DEF,207239.83
2015,4,100,SALARIES AND BENEFITS,207178.36
2018,8,100,EXPENSES,207141.76
2016,7,100,SALARIES AND BENEFITS,206490.95
2017,4,100,EXPENSES,206415
2012,8,100,EXPENSES,206387.26
2011,6,339,NOT DEF,206122.84
2017,5,44D,SPECIAL,205806.77
2020,2,100,EXPENSES,205591.98
2019,5,100,SALARIES AND BENEFITS,205297.35
2016,11,100,EXPENSES,205057.18
2019,11,100,SALARIES AND BENEFITS,204891.33
2019,11,100,SALARIES AND BENEFITS,204891.33
2020,10,100,EXPENSES,204858.12
2017,4,100,SALARIES AND BENEFITS,204727.71
2017,7,100,SALARIES AND BENEFITS,204518.63
2014,8,100,EXPENSES,204512.05
2013,7,100,SALARIES AND BENEFITS,204429.28
2017,7,100,SALARIES AND BENEFITS,204361.03
2020,3,100,SALARIES AND BENEFITS,204306.83
2015,7,100,EXPENSES,204241.67
2016,6,100,EXPENSES,204181.34
2015,1,44D,NOT DEF,203885.6
2015,12,100,EXPENSES,203421.91
2017,7,100,SALARIES AND BENEFITS,203074.39
2013,1,100,EXPENSES,202574.79
2015,8,44D,NOT DEF,202561.74
2018,8,100,EXPENSES,202064.57
2014,12,44D,NOT DEF,202042.4
2014,11,44D,NOT DEF,202042.4
2019,5,100,SALARIES AND BENEFITS,201957.54
2016,5,100,EXPENSES,201774.24
2013,1,44D,NOT DEF,201705.94
2020,1,100,EXPENSES,201583.08
2014,12,100,SALARIES AND BENEFITS,201519
2016,11,100,SALARIES AND BENEFITS,201351.68
2016,4,44D,NOT DEF,201195.8
2018,8,100,SALARIES AND BENEFITS,200844.5
2018,10,100,SALARIES AND BENEFITS,200489.28
2012,8,44D,NOT DEF,200329.09
2011,6,44D,NOT DEF,200000
2011,6,44F,NOT DEF,200000
2011,6,44D,NOT DEF,200000
2016,12,100,SALARIES AND BENEFITS,199636.03
2014,6,100,SALARIES AND BENEFITS,199630.66
2015,1,100,SALARIES AND BENEFITS,199519.45
2012,11,100,EXPENSES,199494.3
2013,7,100,SALARIES AND BENEFITS,199475.45
2018,9,100,SALARIES AND BENEFITS,199324.72
2015,11,100,EQUIPMENT,199088.81
2011,6,44F,NOT DEF,198676
2011,6,44F,NOT DEF,198676
2011,6,44F,NOT DEF,198676
2011,6,44F,NOT DEF,198676
2011,6,44F,NOT DEF,198676
2012,5,44F,NOT DEF,198676
2013,3,44F,NOT DEF,198676
2014,6,44F,NOT DEF,198676
2015,5,44F,NOT DEF,198676
2019,12,100,SALARIES AND BENEFITS,198558.22
2015,7,100,SALARIES AND BENEFITS,198519.83
2019,2,100,SALARIES AND BENEFITS,198168.85
2019,2,100,SALARIES AND BENEFITS,198168.85
2013,10,100,EXPENSES,197953.29
2015,6,100,SALARIES AND BENEFITS,197784.67
2016,3,100,EXPENSES,197743.44
2011,6,44D,NOT DEF,197671.3
2020,2,100,SALARIES AND BENEFITS,197392.52
2020,4,298,NOT DEF,197250.06
2019,7,100,SALARIES AND BENEFITS,197227.66
2015,6,100,SALARIES AND BENEFITS,196915.32
2015,10,100,SALARIES AND BENEFITS,196894.57
2014,12,100,EXPENSES,196857.3
2015,7,100,SALARIES AND BENEFITS,196809.2
2012,3,100,EXPENSES,196774.83
2014,7,100,SALARIES AND BENEFITS,196588.29
2019,9,100,SALARIES AND BENEFITS,196553.9
2015,2,100,SALARIES AND BENEFITS,196457.36
2011,6,44F,NOT DEF,196361.17
2012,10,44D,NOT DEF,196340.44
2015,11,100,SALARIES AND BENEFITS,196325.39
2020,12,100,EXPENSES,196159.63
2015,11,44F,NOT DEF,196041
2019,8,100,SALARIES AND BENEFITS,196030.58
2017,4,100,EXPENSES,195532.5
2016,6,100,EXPENSES,195529.89
2013,3,100,SALARIES AND BENEFITS,195502.51
2017,7,100,EXPENSES,195490
2020,10,100,SALARIES AND BENEFITS,195305.53
2016,2,100,SALARIES AND BENEFITS,195122.22
2018,1,100,EXPENSES,195091.79
2020,12,100,EXPENSES,195083.29
2017,4,100,SALARIES AND BENEFITS,194853.81
2016,3,100,SALARIES AND BENEFITS,194817.22
2012,4,100,SALARIES AND BENEFITS,194715.32
2015,8,100,SALARIES AND BENEFITS,194573.98
2015,10,100,SALARIES AND BENEFITS,194401.33
2012,3,100,EXPENSES,194383.8
2014,8,100,SALARIES AND BENEFITS,194328.52
2016,7,44F,NOT DEF,194310
2016,2,100,SALARIES AND BENEFITS,194062.79
2019,2,100,EXPENSES,194000
2019,2,100,EXPENSES,194000
2018,10,100,SALARIES AND BENEFITS,193499
2014,12,100,EXPENSES,193498.82
2019,7,863,NOT DEF,193379.49
2013,7,339,NOT DEF,193354.91
2018,1,100,SALARIES AND BENEFITS,192941.12
2012,7,100,EXPENSES,192899.96
2013,9,44D,NOT DEF,191925.97
2015,10,100,SALARIES AND BENEFITS,191760.34
2011,6,45D,NOT DEF,191584.49
2011,6,863,NOT DEF,191405.03
2018,4,100,EXPENSES,191213.53
2020,2,100,EXPENSES,190997.42
2015,2,100,SALARIES AND BENEFITS,190977.04
2015,8,100,EXPENSES,190844.27
2014,11,100,SALARIES AND BENEFITS,190553.05
2020,3,100,EXPENSES,190428.7
2011,6,857,NOT DEF,190377.31
2019,5,100,EXPENSES,190204.27
2015,8,100,SALARIES AND BENEFITS,190112.95
2011,6,47C,NOT DEF,189114.49
2019,9,100,SALARIES AND BENEFITS,188845
2019,3,100,EXPENSES,188690.11
2013,5,100,EXPENSES,188623.63
2018,1,100,EXPENSES,188064.89
2013,1,44F,NOT DEF,188000
2015,4,100,SALARIES AND BENEFITS,187836.05
2013,5,100,SALARIES AND BENEFITS,187709.2
2012,10,100,EXPENSES,187681.89
2015,4,100,SALARIES AND BENEFITS,187550.07
2020,1,100,SALARIES AND BENEFITS,187382.9
2016,10,100,EXPENSES,187199.41
2016,1,298,NOT DEF,186682.12
2015,11,100,SALARIES AND BENEFITS,186668.55
2014,3,100,EXPENSES,186656.35
2019,10,100,SALARIES AND BENEFITS,186437.81
2019,10,100,SALARIES AND BENEFITS,186370.56
2013,5,100,EXPENSES,186264.36
2012,11,100,SALARIES AND BENEFITS,186213.13
2012,9,100,EXPENSES,186035.74
2015,7,100,EXPENSES,186008.37
2013,7,100,SALARIES AND BENEFITS,185955.67
2019,7,100,SALARIES AND BENEFITS,185548.12
2015,12,100,SALARIES AND BENEFITS,185478.67
2019,4,100,SALARIES AND BENEFITS,185445.67
2014,10,100,SALARIES AND BENEFITS,185387.84
2018,1,100,EXPENSES,184874.97
2015,12,100,SALARIES AND BENEFITS,184736.95
2014,1,100,EXPENSES,184411.67
2012,10,339,NOT DEF,184303.92
2012,3,100,SALARIES AND BENEFITS,184149.06
2020,11,44D,SPECIAL,183999.23
2019,11,100,EXPENSES,183293.06
2019,11,100,EXPENSES,183293.06
2020,3,100,EXPENSES,182711.9
2020,11,100,SALARIES AND BENEFITS,182378.49
2020,1,100,SALARIES AND BENEFITS,182251.43
2015,5,100,SALARIES AND BENEFITS,181990.34
2012,7,100,EXPENSES,181443.68
2014,11,100,SALARIES AND BENEFITS,181373.75
2019,5,100,EXPENSES,181290.91
2018,10,100,SALARIES AND BENEFITS,181242.99
2013,7,100,EXPENSES,181091.15
2019,7,100,SALARIES AND BENEFITS,181045.35
2014,8,100,EXPENSES,181027.82
2019,9,100,SALARIES AND BENEFITS,180991.22
2013,9,100,EXPENSES,180933.05
2018,12,100,EXPENSES,180845.74
2019,1,100,SALARIES AND BENEFITS,180336.27
2019,1,100,SALARIES AND BENEFITS,180336.27
2016,8,100,SALARIES AND BENEFITS,180258.79
2018,8,100,SALARIES AND BENEFITS,180184.4
2011,6,339,NOT DEF,180000
2018,11,298,NOT DEF,179746.17
2013,2,44F,NOT DEF,179682.03
2015,6,100,EQUIPMENT,179616.91
2014,3,100,SALARIES AND BENEFITS,179448.61
2013,2,44F,NOT DEF,179258
2019,8,100,SALARIES AND BENEFITS,179170.07
2015,7,339,NOT DEF,179062
2014,1,100,SALARIES AND BENEFITS,179040.01
2020,3,100,SALARIES AND BENEFITS,178695.43
2015,4,100,EXPENSES,178669.6
2012,2,339,NOT DEF,178664.29
2018,8,100,EXPENSES,178548.61
2015,6,339,NOT DEF,178202.76
2012,7,100,SALARIES AND BENEFITS,178146.28
2014,1,290,NOT DEF,178080.85
2012,1,100,EXPENSES,177971.06
2011,6,885,NOT DEF,177600
2015,9,100,SALARIES AND BENEFITS,177592.31
2014,1,44F,NOT DEF,177584.22
2015,11,100,SALARIES AND BENEFITS,177415.21
2017,7,100,EXPENSES,177376.35
2015,6,100,SALARIES AND BENEFITS,177044.7
2018,3,100,EXPENSES,176938.75
2011,6,339,NOT DEF,176818.67
2014,3,44D,NOT DEF,176787.1
2011,6,213,NOT DEF,176729.44
2018,11,100,SALARIES AND BENEFITS,176462.57
2014,7,100,EXPENSES,176326.51
2015,11,44D,NOT DEF,176253
2016,4,100,SALARIES AND BENEFITS,176246.26
2013,7,100,SALARIES AND BENEFITS,176093.96
2014,1,290,NOT DEF,176042.63
2015,9,100,EXPENSES,175949.02
2016,4,100,SALARIES AND BENEFITS,175657.87
2017,7,100,SALARIES AND BENEFITS,175652.84
2016,7,100,EXPENSES,175600.43
2020,10,100,EXPENSES,175539.09
2012,9,100,EXPENSES,175305.03
2014,12,290,NOT DEF,175256.16
2012,1,100,EXPENSES,175210.46
2020,2,100,EXPENSES,174904
2018,8,100,SALARIES AND BENEFITS,174841.17
2012,7,100,SALARIES AND BENEFITS,174600.91
2015,3,100,EXPENSES,174287.37
2013,7,100,SALARIES AND BENEFITS,173991.3
2013,5,100,EXPENSES,173976.09
2011,6,41Y,NOT DEF,173912
2012,12,100,EXPENSES,173894.47
2013,4,339,NOT DEF,173880.7
2015,8,100,SALARIES AND BENEFITS,173616.3
2018,12,100,SALARIES AND BENEFITS,173495.81
2013,8,44D,NOT DEF,173376.22
2015,7,100,SALARIES AND BENEFITS,173090.18
2016,4,298,NOT DEF,173017.5
2012,6,100,EXPENSES,172955.35
2015,9,100,EXPENSES,172822.35
2016,5,100,SALARIES AND BENEFITS,172796.12
2020,12,100,SALARIES AND BENEFITS,172777.28
2015,1,100,SALARIES AND BENEFITS,172623.58
2018,11,298,NOT DEF,172498.47
2019,2,100,EXPENSES,172447.08
2019,2,100,EXPENSES,172447.08
2011,6,213,NOT DEF,172306.94
2015,4,100,SALARIES AND BENEFITS,172287.49
2014,6,100,SALARIES AND BENEFITS,172269.88
2013,6,100,SALARIES AND BENEFITS,172202.99
2014,4,100,SALARIES AND BENEFITS,172073.3
2011,6,290,NOT DEF,171847.1
2014,7,100,SALARIES AND BENEFITS,171806.14
2018,2,100,EXPENSES,171786.1
2020,10,100,EXPENSES,171750
2014,7,100,SALARIES AND BENEFITS,171613.93
2012,3,339,NOT DEF,171497.38
2011,6,339,NOT DEF,171285.26
2013,2,554,NOT DEF,170895.87
2017,4,100,EXPENSES,170423.45
2013,12,100,EXPENSES,170301.18
2015,6,100,SALARIES AND BENEFITS,169622.82
2019,5,100,SALARIES AND BENEFITS,169580.02
2012,6,100,EQUIPMENT,169299.28
2017,4,100,EXPENSES,169275.4
2013,11,100,SALARIES AND BENEFITS,169047.71
2014,8,44F,NOT DEF,168630.38
2014,1,100,EQUIPMENT,168623.26
2014,3,100,SALARIES AND BENEFITS,168482.44
2016,2,100,EXPENSES,168379.39
2019,8,100,EXPENSES,168300.27
2012,4,100,SALARIES AND BENEFITS,168209.16
2012,1,100,EXPENSES,167560.92
2019,5,100,EXPENSES,167486.02
2017,9,100,SALARIES AND BENEFITS,167418.96
2014,9,100,EXPENSES,167374.03
2013,4,100,EXPENSES,167354.79
2013,3,100,SALARIES AND BENEFITS,167335.38
2015,3,100,SALARIES AND BENEFITS,167286.33
2019,8,100,SALARIES AND BENEFITS,167074.16
2012,6,100,EXPENSES,167045.44
2019,3,100,EXPENSES,167012.51
2014,5,100,SALARIES AND BENEFITS,166996.24
2018,9,100,EXPENSES,166952.98
2015,5,100,SALARIES AND BENEFITS,166942.64
2012,7,100,SALARIES AND BENEFITS,166924.26
2015,9,100,EXPENSES,166842.17
2012,7,44D,NOT DEF,166771
2014,4,100,EXPENSES,166755.01
2018,9,100,SALARIES AND BENEFITS,166679.13
2012,10,100,SALARIES AND BENEFITS,166469.64
2016,3,298,NOT DEF,166365
2019,4,100,SALARIES AND BENEFITS,166231.37
2019,10,100,EXPENSES,166224.77
2017,7,100,EXPENSES,166010.89
2013,5,100,EXPENSES,165869.31
2016,3,100,EXPENSES,165772.67
2016,3,100,EQUIPMENT,165607.46
2019,8,100,EXPENSES,165607.25
2019,8,100,SALARIES AND BENEFITS,165237.58
2019,10,100,EQUIPMENT,165106.01
2016,12,100,EXPENSES,164910.26
2015,3,100,SALARIES AND BENEFITS,164841.23
2011,6,339,NOT DEF,164760.99
2014,3,100,EXPENSES,164723.94
2017,4,100,EXPENSES,164562.82
2016,11,100,EXPENSES,164392.96
2013,2,100,SALARIES AND BENEFITS,164221.12
2013,5,100,SALARIES AND BENEFITS,164141.83
2019,1,298,NOT DEF,164002.53
2019,1,298,NOT DEF,164002.53
2011,6,339,NOT DEF,163929.77
2011,6,339,NOT DEF,163840
2015,9,100,SALARIES AND BENEFITS,163781.01
2017,7,100,EXPENSES,163726.34
2013,4,100,SALARIES AND BENEFITS,163651.35
2019,7,100,EXPENSES,163314.41
2014,5,100,SALARIES AND BENEFITS,163084.53
2020,3,100,EXPENSES,163024.61
2013,5,100,EXPENSES,162311.89
2018,11,100,EQUIPMENT,162168.72
2012,1,100,SALARIES AND BENEFITS,161983.15
2018,3,100,SALARIES AND BENEFITS,161677.09
2019,3,100,SALARIES AND BENEFITS,161569.02
2017,7,100,EXPENSES,161568.72
2020,4,100,SALARIES AND BENEFITS,161552.63
2011,6,41Y,NOT DEF,161504.56
2016,2,100,SALARIES AND BENEFITS,161372.07
2020,2,100,SALARIES AND BENEFITS,161335.57
2016,8,100,EXPENSES,161335.14
2013,7,44F,NOT DEF,161317.59
2013,8,100,SALARIES AND BENEFITS,161309.19
2020,2,885,NOT DEF,161057.69
2013,5,100,EXPENSES,161015.27
2014,4,100,SALARIES AND BENEFITS,160975.76
2013,9,339,NOT DEF,160937.62
2020,12,44E,SPECIAL,160870.9
2011,6,863,NOT DEF,160559.37
2012,3,100,EXPENSES,160317.52
2017,5,100,SALARIES AND BENEFITS,159965.12
2011,6,45D,NOT DEF,159821.06
2018,4,100,EXPENSES,159762.81
2011,6,41Y,NOT DEF,159713.33
2017,7,100,SALARIES AND BENEFITS,159313.77
2015,6,100,EXPENSES,158997.45
2020,4,100,SALARIES AND BENEFITS,158976.35
2018,9,100,SALARIES AND BENEFITS,158680.89
2011,6,44D,NOT DEF,158641.74
2016,7,100,SALARIES AND BENEFITS,158626.65
2014,8,44D,NOT DEF,158283.93
2012,8,100,EXPENSES,158200.48
2012,6,51Y,NOT DEF,157974
2012,9,100,EXPENSES,157947.56
2012,4,100,EXPENSES,157887.97
2018,3,100,EXPENSES,157598.72
2014,7,100,SALARIES AND BENEFITS,157322.31
2018,11,100,EXPENSES,157240.99
2014,2,100,SALARIES AND BENEFITS,157220.48
2013,5,44D,NOT DEF,156784.28
2016,3,100,SALARIES AND BENEFITS,156765.32
2013,10,100,SALARIES AND BENEFITS,156736.8
2013,3,100,EXPENSES,156529.11
2020,10,100,EXPENSES,156488.24
2014,10,100,SALARIES AND BENEFITS,156487.5
2015,12,100,EXPENSES,156432.02
2015,2,100,EXPENSES,156330.16
2013,12,100,EXPENSES,156262.18
2014,9,100,SALARIES AND BENEFITS,156077.93
2012,7,100,EXPENSES,155874.72
2018,10,100,EXPENSES,155583.21
2016,6,100,EXPENSES,155560.85
2016,8,100,EXPENSES,155460.65
2020,4,100,SALARIES AND BENEFITS,155360.36
2015,9,100,EXPENSES,155265.35
2014,8,100,EXPENSES,155104.12
2012,8,100,EXPENSES,155001.67
2017,5,100,SALARIES AND BENEFITS,154870.79
2019,3,100,SALARIES AND BENEFITS,154864.02
2017,8,100,SALARIES AND BENEFITS,154803.13
2013,10,100,SALARIES AND BENEFITS,154753.48
2016,2,100,SALARIES AND BENEFITS,154746.98
2016,7,100,EXPENSES,154647.95
2019,4,100,SALARIES AND BENEFITS,154596.92
2017,5,100,EXPENSES,154392.03
2012,9,339,NOT DEF,154161.52
2016,8,100,SALARIES AND BENEFITS,153895.69
2015,6,100,EXPENSES,153766.29
2017,9,100,EXPENSES,153587.45
2014,7,100,SALARIES AND BENEFITS,153515.66
2013,1,100,SALARIES AND BENEFITS,153471.72
2013,12,100,SALARIES AND BENEFITS,153392.59
2018,5,100,EQUIPMENT,153325.49
2019,9,100,EXPENSES,153280.51
2017,7,100,EXPENSES,153086.09
2012,8,100,SALARIES AND BENEFITS,153069.06
2016,3,100,EXPENSES,152951.04
2018,3,100,SALARIES AND BENEFITS,152890.96
2019,2,100,SALARIES AND BENEFITS,152824.81
2019,2,100,SALARIES AND BENEFITS,152824.81
2018,3,100,EXPENSES,152784.03
2011,6,339,NOT DEF,152450.35
2013,11,100,SALARIES AND BENEFITS,152443.96
2016,8,44D,SPECIAL,152332.98
2020,1,100,SALARIES AND BENEFITS,152151.55
2013,7,100,SALARIES AND BENEFITS,152085.38
2015,5,100,EXPENSES,151969.19
2019,10,339,SPECIAL,151967.27
2019,9,100,EXPENSES,151798.91
2015,2,100,SALARIES AND BENEFITS,151742.12
2016,4,100,EXPENSES,151600.76
2017,5,298,NOT DEF,151576
2014,10,44D,NOT DEF,151531.8
2018,2,100,SALARIES AND BENEFITS,151419.81
2016,4,100,EXPENSES,151335.07
2018,5,100,EXPENSES,151311.5
2018,10,100,EXPENSES,151166.56
2015,3,100,EXPENSES,151125.87
2017,8,44D,NOT DEF,150896.81
2014,9,100,SALARIES AND BENEFITS,150626.46
2018,11,100,EXPENSES,150584.26
2014,3,100,SALARIES AND BENEFITS,150559.36
2020,10,100,SALARIES AND BENEFITS,150470.99
2016,9,100,SALARIES AND BENEFITS,150446.11
2014,9,339,NOT DEF,150403.37
2016,10,100,SALARIES AND BENEFITS,150312.6
2013,6,290,NOT DEF,150311.2
2016,8,339,NOT DEF,150065.44
2011,6,44D,NOT DEF,150000
2015,8,44F,NOT DEF,150000
2011,6,863,NOT DEF,149998.34
2020,1,100,EXPENSES,149985.22
